Nome,Matricula,Nota 01,Nota 02,Nota 03,Nota 04,Media,Situação
Felipe Augusto Cardoso, 1,5.00, 6.00, 7.00, 8.00, 6.50, Aprovado
Renata Souza Oliveira, 2,9.00, 6.00, 5.00, 8.00, 7.00, Aprovado
Gustavo Henrique Prado, 3,7.00, 5.00, 6.00, 9.00, 6.75, Aprovado
Isabela Cristina Nunes, 4,4.00, 5.00, 3.00, 2.00, 3.50, Reprovado
Anderson Luis Batista, 5,3.00, 2.00, 1.00, 3.00, 2.25, Reprovado
Priscila Melo Ferreira, 6,6.00, 3.00, 5.00, 2.00, 4.00, Reprovado
Rodrigo Alves Teixeira, 7,9.00, 8.00, 9.00, 7.00, 8.25, Aprovado
Tatiane Costa Barbosa, 8,9.00, 6.00, 5.00, 8.00, 7.00, Aprovado
Leandro Marques Vieira, 9,4.00, 5.00, 3.00, 5.00, 4.25, Reprovado
Vanessa Lima Rodrigues, 10,4.00, 5.00, 2.00, 3.00, 3.50, Reprovado
Fábio Gonçalves Araújo, 11,9.00, 8.00, 7.00, 6.00, 7.50, Aprovado
Daniela Pereira Campos, 12,1.00, 2.00, 3.00, 4.00, 2.50, Reprovado
Marcelo Rocha Santana, 13,8.00, 5.00, 2.00, 3.00, 4.50, Reprovado
Aline Ribeiro Monteiro, 14,9.00, 9.00, 8.00, 6.00, 8.00, Aprovado
Eduardo Fernandes Cruz, 15,9.00, 6.00, 3.00, 6.00, 6.00, Aprovado
Jackson Douglas de Souza, 16,10.00, 10.00, 10.00, 9.00, 9.75, Aprovado
Victória Silva Bernardes, 17,5.00, 6.00, 7.00, 8.00, 6.50, Aprovado
Manu da Silva Ribeiro, 18,5.00, 6.00, 3.00, 6.00, 5.00, Reprovado
Naldo Gatão da Silva, 19,10.00, 10.00, 10.00, 10.00, 10.00, Aprovado
